scorer,DLC_resnet50_EPMApr27shuffle1_850000,DLC_resnet50_EPMApr27shuffle1_850000,DLC_resnet50_EPMApr27shuffle1_850000,DLC_resnet50_EPMApr27shuffle1_850000,DLC_resnet50_EPMApr27shuffle1_850000,DLC_resnet50_EPMApr27shuffle1_850000,DLC_resnet50_EPMApr27shuffle1_850000,DLC_resnet50_EPMApr27shuffle1_850000,DLC_resnet50_EPMApr27shuffle1_850000,DLC_resnet50_EPMApr27shuffle1_850000,DLC_resnet50_EPMApr27shuffle1_850000,DLC_resnet50_EPMApr27shuffle1_850000,DLC_resnet50_EPMApr27shuffle1_850000,DLC_resnet50_EPMApr27shuffle1_850000,DLC_resnet50_EPMApr27shuffle1_850000,DLC_resnet50_EPMApr27shuffle1_850000,DLC_resnet50_EPMApr27shuffle1_850000,DLC_resnet50_EPMApr27shuffle1_850000
bodyparts,nose,nose,nose,left paw,left paw,left paw,right paw,right paw,right paw,left hindpaw,left hindpaw,left hindpaw,right hindpaw,right hindpaw,right hindpaw,tail,tail,tail
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,484.6491394042969,201.5142364501953,0.9965528249740601,497.260009765625,184.5144500732422,0.9917073845863342,532.584716796875,198.62220764160156,0.9999322891235352,499.3367614746094,170.40240478515625,0.9999860525131226,540.806640625,163.20863342285156,0.9999994039535522,522.0670166015625,135.1444549560547,0.9999971389770508
1,484.1271667480469,202.01803588867188,0.9954521059989929,495.7225341796875,183.4581756591797,0.9817245006561279,532.56494140625,198.4882354736328,0.9999420642852783,499.2420349121094,170.74761962890625,0.9999852180480957,540.7224731445312,163.1923828125,0.9999994039535522,522.0958251953125,135.4122314453125,0.9999970197677612
2,484.54620361328125,201.7998809814453,0.9969022870063782,495.71978759765625,183.4489288330078,0.9802581071853638,532.5015869140625,198.50601196289062,0.9999428987503052,499.0804443359375,170.94410705566406,0.9999837875366211,540.7445068359375,163.1587371826172,0.9999994039535522,522.20166015625,135.3200225830078,0.9999972581863403
3,483.5038757324219,202.2728729248047,0.9979225993156433,497.4983215332031,183.69935607910156,0.9934195876121521,532.4879760742188,198.39874267578125,0.9999663829803467,498.3712463378906,171.1085968017578,0.9999877214431763,540.7789306640625,163.29006958007812,0.9999994039535522,522.5325317382812,135.11631774902344,0.9999978542327881
4,484.67987060546875,203.99957275390625,0.9997743964195251,494.976318359375,184.6929931640625,0.9999321699142456,532.0681762695312,198.28773498535156,0.9999822378158569,499.2391357421875,161.98582458496094,0.9999992847442627,540.7745971679688,163.3350067138672,0.9999995231628418,522.6749267578125,135.36729431152344,0.9999977350234985
5,484.3006896972656,204.5611114501953,0.9997484087944031,494.4137268066406,184.598388671875,0.9999486207962036,531.9258422851562,198.00784301757812,0.9999619722366333,498.7265625,155.13497924804688,0.9999998807907104,540.5589599609375,162.9873809814453,0.9999996423721313,523.1474609375,135.76498413085938,0.9999978542327881
6,484.1898498535156,204.57876586914062,0.9997716546058655,494.3958740234375,184.66017150878906,0.9999498128890991,531.8851318359375,198.12481689453125,0.9999682903289795,498.5812072753906,154.6427001953125,0.9999998807907104,540.4884643554688,162.89366149902344,0.9999995231628418,523.681396484375,135.6370086669922,0.9999979734420776
7,484.0116882324219,203.8419189453125,0.9998051524162292,494.26336669921875,184.73956298828125,0.9999440908432007,531.7276611328125,198.09970092773438,0.9999626874923706,498.6999816894531,154.56515502929688,0.9999998807907104,540.4404907226562,163.00149536132812,0.9999995231628418,523.9705200195312,135.5389862060547,0.9999980926513672
8,484.4724426269531,203.1077880859375,0.9998334646224976,494.3345642089844,184.52627563476562,0.999966025352478,531.70263671875,198.1479034423828,0.9999505281448364,498.6158752441406,154.4007110595703,0.9999998807907104,540.417236328125,162.9478759765625,0.9999996423721313,524.7553100585938,135.01287841796875,0.9999983310699463
9,483.9950256347656,203.08595275878906,0.9997923970222473,494.1385803222656,184.4368438720703,0.9999703168869019,531.9773559570312,198.1197509765625,0.9999107122421265,498.6020812988281,154.1403350830078,0.9999998807907104,540.26708984375,162.8480224609375,0.9999995231628418,524.9839477539062,134.23728942871094,0.9999986886978149
10,483.69384765625,202.6343536376953,0.999626636505127,494.0650329589844,184.82986450195312,0.9999599456787109,532.0027465820312,198.33592224121094,0.999907374382019,498.7669982910156,154.11534118652344,0.9999998807907104,540.19970703125,162.83349609375,0.9999995231628418,525.0137329101562,133.95559692382812,0.9999988079071045
11,483.9022521972656,202.14291381835938,0.9997063279151917,493.9828796386719,184.84910583496094,0.9999561309814453,531.9063110351562,198.24508666992188,0.9998880624771118,498.71533203125,154.17576599121094,0.9999998807907104,540.2158203125,162.8502197265625,0.9999995231628418,524.9067993164062,133.98788452148438,0.9999988079071045
12,483.9586181640625,202.5343780517578,0.9995438456535339,494.064697265625,184.86705017089844,0.9999595880508423,531.7484741210938,198.0863800048828,0.9998975992202759,498.76727294921875,154.13259887695312,0.9999998807907104,540.2227783203125,162.91452026367188,0.9999995231628418,525.2244262695312,134.2399444580078,0.9999985694885254
13,484.07513427734375,202.46905517578125,0.999491810798645,494.1045837402344,184.83079528808594,0.9999645948410034,531.8355102539062,198.15711975097656,0.999902606010437,498.7876892089844,154.1315460205078,0.9999998807907104,540.1260375976562,162.8605499267578,0.9999995231628418,525.2559814453125,134.19635009765625,0.9999986886978149
14,484.0467224121094,202.3017120361328,0.9994365572929382,494.1024475097656,184.91415405273438,0.9999666213989258,531.7556762695312,198.2330322265625,0.9999130964279175,498.8409423828125,154.11988830566406,0.9999998807907104,540.1942138671875,162.89068603515625,0.9999995231628418,525.2159423828125,134.16407775878906,0.9999986886978149
15,484.1326599121094,201.78964233398438,0.9991301894187927,494.2492980957031,184.900146484375,0.9999704360961914,531.5921020507812,198.31341552734375,0.9999057054519653,498.8330993652344,154.12033081054688,0.9999998807907104,540.1447143554688,162.88275146484375,0.9999995231628418,525.2636108398438,134.1847381591797,0.9999986886978149
16,486.3373718261719,202.74813842773438,0.9998607635498047,494.0874328613281,184.178466796875,0.9999756813049316,531.4736328125,198.31712341308594,0.9998975992202759,498.69818115234375,153.9991455078125,0.9999998807907104,540.1830444335938,162.8827667236328,0.9999996423721313,525.2828369140625,134.77133178710938,0.9999983310699463
17,490.2757873535156,206.52493286132812,0.9999184608459473,495.04156494140625,183.15869140625,0.9999943971633911,531.3341674804688,198.0706787109375,0.9998687505722046,498.7625732421875,153.9576416015625,0.9999998807907104,540.548095703125,162.76583862304688,0.9999996423721313,525.9968872070312,134.3149871826172,0.9999982118606567
18,494.7498474121094,210.90579223632812,0.9999942779541016,494.8595275878906,183.3584747314453,0.9999960660934448,531.72412109375,198.28114318847656,0.999962568283081,498.7703552246094,153.81747436523438,0.9999998807907104,540.5033569335938,162.9613800048828,0.9999996423721313,525.97412109375,133.63333129882812,0.9999988079071045
19,500.49969482421875,214.24256896972656,0.9999904632568359,495.4349670410156,184.0244903564453,0.9999843835830688,531.7915649414062,199.1024627685547,0.9999946355819702,498.38671875,153.76092529296875,0.9999998807907104,540.58740234375,163.12396240234375,0.9999995231628418,525.5352172851562,134.0387420654297,0.999998927116394
20,505.9491882324219,218.79541015625,0.9999096393585205,495.49749755859375,184.3678741455078,0.9999179840087891,532.1901245117188,198.88038635253906,0.9999992847442627,498.2021179199219,153.70095825195312,0.9999998807907104,540.370361328125,163.1196746826172,0.9999996423721313,525.4490356445312,134.16009521484375,0.9999990463256836
21,506.43475341796875,222.14352416992188,0.9999536275863647,496.6763000488281,185.08277893066406,0.999782145023346,532.0177612304688,198.43954467773438,0.9999996423721313,498.0060729980469,153.5518798828125,0.9999998807907104,540.2696533203125,162.99087524414062,0.9999996423721313,525.3633422851562,133.8690643310547,0.9999991655349731
